product_key,product_name,product_subcategory,product_category,StandardCost,Color,SafetyStockLevel,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,ModelName,Description,Status,sell_start_date,sell_end_date
225,AWC Logo Cap,Caps,Clothing,6.9223,Multi,4,8.99,,NA,,0,S,5.394,,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current,2018-01-07,
224,AWC Logo Cap,Caps,Clothing,5.2297,Multi,4,8.6442,,NA,,0,S,5.1865,,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,,2017-01-07,2018-06-30
223,AWC Logo Cap,Caps,Clothing,5.7052,Multi,4,8.6442,,NA,,0,S,5.1865,,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,,2016-01-07,2017-06-30
393,HL Fork,Forks,Components,101.8936,NA,500,229.49,,NA,,1,,137.694,H,HL Fork,High-performance carbon road fork with curved legs.,,2017-01-07,2018-06-30
392,ML Fork,Forks,Components,77.9176,NA,500,175.49,,NA,,1,,105.294,M,ML Fork,Composite road fork with an aluminum steerer tube.,,2017-01-07,2018-06-30
391,LL Fork,Forks,Components,65.8097,NA,500,148.22,,NA,,1,,88.932,L,LL Fork,Stout design absorbs shock and offers more precise steering.,,2017-01-07,2018-06-30
447,Cable Lock,Locks,Accessories,10.3125,NA,4,25.0,,NA,,0,S,15.0,,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",,2017-01-07,2018-06-30
448,Minipump,Pumps,Accessories,8.2459,NA,4,19.99,,NA,,0,S,11.994,,Minipump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,,2017-01-07,2018-06-30
449,Mountain Pump,Pumps,Accessories,10.3084,NA,4,24.99,,NA,,0,M,14.994,,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.,,2017-01-07,2018-06-30
219,"Mountain Bike Socks, L",Socks,Clothing,3.3963,White,4,9.5,,L,,0,M,5.7,,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,,2016-01-07,2017-06-30
218,"Mountain Bike Socks, M",Socks,Clothing,3.3963,White,4,9.5,,M,,0,M,5.7,,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,,2016-01-07,2017-06-30
482,"Racing Socks, L",Socks,Clothing,3.3623,White,4,8.99,,L,,0,R,5.394,,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",Current,2018-01-07,
481,"Racing Socks, M",Socks,Clothing,3.3623,White,4,8.99,,M,,0,R,5.394,,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",Current,2018-01-07,
